,time,text
20,18 min,"Mainz is given the chance to run at the Barcelona defence, but the offside flag is raised and an uncomfortable moment for the visitors ends courtesy of the linesman. Still goalless with 18 minutes on the clock and in truth, Barcelona have only come close on one occasion - that Alcacer free kick."
21,21 min,"It has been a busy period for the referee in the last few minutes due to a number of late challenges, but Hercules will not mind as it harms Barcelona's flow in the final third. I expected this to be tough for the Spanish champions, at least in the first period, and that has indeed proved to be the case."
22,23 min,"The final pass is just not there at the moment as Hercules continue to shut the door when Barcelona look to thread that elusive ball. The pressure, however, is increasing on the home side."
23,25 min,"Salinas and Gaspar have not been shy in joining Mainz in the final third tonight and Barcelona's much-changed defence does not look too comfortable under pressure. That said, all of the football is being played by the Spanish champions as they continue to pass and probe in the final third."
24,28 min,"Barcelona continue to threaten with a couple of corners in quick succession, but clear opportunities are not arriving as Hercules clear their lines time and time again. Still goalless here."
25,29 min,"Half-chance for the home side this time as Gaspar breaks forward, but he fires straight at Cillessen."
26,31 min,"Half-chance for Barcelona this time as Alcacer beats the Hercules goalkeeper to the ball and squares into the box, but Rojas is on hand to make the clearance. It is a very open game with both teams committing players in the final third, although clear chances have been few and far between."
27,33 min,"Turan looks to have a problem for Barcelona after controlling the ball with his chest, but the Turkish international does continue, for now. Little bit quiet in terms of attacking football at the moment."
28,36 min,"Barcelona have been sloppy at the back on more than one occasion in this first period, but the home side have been unable to really take advantage. Still the visitors pass and probe in the final third, but Hercules are very comfortable as they sit with nine players behind the ball."
29,38 min,"Barcelona have had plenty of free kicks in advanced areas, but without Messi, without Neymar, they have wasted them. Denis Suarez delivers the latest and Lopez heads high and wide."
30,40 min,"Little over five minutes of the first period remaining and in truth, Hercules have been pretty comfortable, which is credit to their tactics and shape. Tevenet has got his selection spot on."
31,43 min,"Rafinha, who is the Barcelona captain tonight, looks to pick out Turan with a deep cross, but it is too strong for the Turkish international and Hercules can resume from the dead-ball line once again."
32,44 min,"Half-chance for Hercules, but Sainz heads Gaspar's deep cross wide of the post."
33,45 min+1,HALF-TIME: Hercules 0-0 Barcelona
34,9.47pm,"So there we have it. The referee brings the first period to a close with the two teams level at 0-0. Barcelona have dominated the possession and indeed looked the more likely to make the breakthrough, but Hercules have had their moments and have been very compact at the back."
35,9.52pm,"BENCH WATCH! First-teamers Andre Gomes and Sergi Roberto are both on the Barcelona bench tonight, in addition to youngsters Cardona and Nili. As for for the home side, Berrocal and leading scorer Chechu are both on the bench. This match could well be decided off the bench tonight."
36,9.57pm,"📍 At the break it's all square at 0-0 between Hércules and FC Barcelona in the Copa del Rey #FCBLive #CopaFCB pic.twitter.com/aHukwwoMNT— FC Barcelona (@FCBarcelona) November 30, 2016 "
37,46 min,RESTART! Barcelona resume the action in Alicante...
38,47 min,"... no changes from either side at the break, which is not too much of a surprise. However, I suspect that both managers will already have alterations in mind for the second period."
39,49 min,"Much like the first period, Barcelona are dominating the ball, but Hercules are comfortable as they shift across the pitch and close the space. You just get the feeling that the final 30 minutes of this match is where the real test will arrive. Hercules will tire, there is no question about that."
40,49 min,Lopez fells Gaspar just outside the Barcelona box...
41,50 min,... SAVE! Cillessen gets down to keep out Gaspar's effort.
42,52 min,"Not too much from Barcelona in the last few minutes and Luis Enrique is cutting a frustrated figure on the side of the pitch. The likes of Rafinha, Turan and Alcacer have not stepped forward in the absence of Messi, Neymar and Suarez. However, there is still a lot of football to be played tonight."
43,52 min,GOAL! Hercules 1-0 Barcelona (Mainz)
44,53 min,Wow! Hercules make the breakthrough in the 52nd minute of this match as Salinas delivers a dangerous cross towards the far post and Mainz chests the ball home from close range!
45,55 min,"Barcelona have a second leg to turn this tie around, but the Catalan side have been poor tonight, there is no question about that. If Hercules can score a second, that would be very interesting!"
46,58 min,"Little over 30 minutes of this first leg remaining and Barcelona are pressing without really looking capable of levelling the scores. Andre Gomes is on the bench for the away side, but the likes of Neymar, Suarez and Messi are not involved tonight. Hercules have been very impressive here."
47,58 min,GOAL! Hercules 1-1 Barcelona (Alena)
48,59 min,"All square! Barcelona level the scores just before the hour as Alena, on his debut, arrows one into the bottom corner from distance. It is a wonderful strike from this excellent prospect!"
49,62 min,"It has been a good spell for Barcelona in the last few minutes as they move the ball quicker in the final third of the field. Hercules' heads have dropped a tough, but they have still played very well tonight and will surely get chances on the counter-attack as this match continues to progress here."
50,65 min,"Odegaard impressed for Real Madrid earlier tonight and Alena has been the star of the show for Barcelona here. Neither player will be involved in El Clasico at the weekend, but the two giants have two excellent young players on their hands. Still 1-1 in Alicante with little more than 25 minutes left."
51,67 min,"The home supporters are doing their best to raise their team as we approach a very important period of this match. Meanwhile, there is some clear moment on the Barcelona bench here."
52,69 min,BARCELONA SUBS! Carbonell and Umtiti are replaced by Gomes and Nili.
53,71 min,HERCULES SUBS! Gaspar and Salinas are replaced by Minano and Chechu.
54,73 min,"Hercules are more than likely going to be knocked out by Barcelona regardless of the result tonight, but they must take huge belief from their performance when it comes to their battle to escape the third tier of Spanish football. The hosts have been strong all over the park tonight."
55,76 min,"All Barcelona at the moment as they continue to pass and probe in the final third of the field, but clear chances are at a premium as Hercules continue to close the space outside their own box."
56,77 min,BARCELONA SUB! Cardona replaces Alena for Barcelona.
57,78 min,"SAVE! Super goalkeeping from the Hercules stopper to keep out Cardona from close range. Almost the perfect introduction for the Spaniard, who is also making his debut tonight."
58,80 min,HERCULES SUB! Goalscorer Mainz leaves the field for Berrocal.
59,83 min,Good pressure from the home side in the last couple of minutes and Turan is forced to clear under pressure from Juanma. Still more than five minutes for one of these teams to find a winner here.
60,85 min,"There has not been a single yellow card in this match, and there have been some tasty challenges to say the least! I may well have just cursed it and we will see a flurry of cards late on."
61,86 min,Omgba has just gone down with cramp after getting through some serious work tonight.
62,88 min,"Well, it does appear that Hercules are going to hold Barcelona tonight, which at least keeps things interesting ahead of the second leg at Camp Nou next month. It is easy to see why Hercules are going well in their domestic league this season - they have matched the Spanish champions here."
63,90 min,"A stretcher is called as Hercules midfielder Ingles goes down in his own box, but the number six is soon back on his feet and should be able to continue for the final minutes of this match."
64,90 min,BOOKING! Pena (Hercules) is booked for a foul on Vidal.
65,90 min+2,We are into the second of four added minutes at the end of this match.
66,90 min+4,"Barcelona boss Luis Enrique will make 11 changes to his team for El Clasico, but the Spaniard cannot be overly impressed with what he has seen tonight. Alena has been a real positive, but the likes of Turan, Alcacer and Rafinha have struggled to make their mark in the final third here."
67,90 min+5,FULL-TIME: Hercules 1-1 Barcelona
68,10.51pm,So there we have it. The referee brings the second period to a close with the two teams level at 1-1 ahead of the second leg at Camp Nou next month. Hercules can be proud of their performance tonight against a Barcelona team that must now switch their attention to El Clasico on Saturday afternoon! Thanks for joining Sports Mole for our live coverage once again! Until next time!
