,time,text
16,7.38pm,"The Champions League, however, is a different story. Celtic have actually lost nine of their last 12 games in this competition and are winless in their last seven. Meanwhile, the Scottish outfit have failed to keep a clean sheet in their last 17 Champions League matches, which is their longest run without a shut-out in this competition. Right, kickoff is now just around five minutes away here!© SilverHub"
17,7.42pm,"Here we go then - both sets of players join us on the pitch ahead of kickoff in Glasgow. Once the pre-match handshakes have been undertaken and the flags have been exchanged, we will be ready to get the first 45 minutes underway. You just sense that Celtic need to make a fast start to this game."
18,0 min,"KICKOFF! Good grief - the noise inside this stadium is quite something. It is also a bitter night in Scotland and Barcelona look a little chilly! Right, Celtic kick things off on home soil..."
19,2 min,"... Barcelona should win this match. But should has no place in football, not on nights like this. The atmosphere is just sensational and that will be the case right throughout the 90 minutes. Barcelona are attempting to play from the back early on, but Celtic are pushing very high up the field here."
20,4 min,"You just get the feeling that the first goal tonight - if there indeed is one - could be vital. Barcelona have already attempted to free Messi in a dangerous area, but Armstrong was on hand to make the challenge. Pass, pass, pass from Barcelona as they attempt to create some space in the final third."
21,6 min,"Brown has just caught Busquets with a late challenge, but the referee did not look bothered and that was welcomed by the home supporters. Celtic have to make this game into a battle tonight."
22,8 min,"Good work from Sinclair as the Celtic winger drives down the left before combining with Rogic, but Pique is across to make the challenge and Barcelona can build from the back once again. No clear chances inside the opening eight minutes, but Celtic are certainly matching Barcelona here."
23,10 min,"CHANCE! First real chance for the away side as Neymar finds Messi with a clever flick inside the Celtic box, but the Argentine's effort is blocked and Suarez cannot beat Sviatchenko in the air!"
24,11 min,"CHANCE! Another super chance for Messi following a wonderful Busquets pass, but for once, the Argentine cannot control! Celtic need to be very careful during this spell of pressure."
25,14 min,"The match has just settled in the last couple of minutes as Barcelona continue to pass and probe, but Celtic are looking dangerous when they have the chance to break through Sinclair and Dembele."
26,16 min,"Ter Stegen continues to take chances with his kicking and the German puts his team in trouble once again with a poor clearance, but Sinclair is just crowded out at the vital moment. Armstrong then looks to drive inside, but Rakitic makes the clearance as Barcelona look for a quick break."
27,17 min,"Half-chance for Barcelona as Alba picks out Messi with a clever pass inside the Celtic box, but the Argentine sweeps his effort wide of the post. Another warning sign for the home side here."
28,19 min,Dembele is causing Pique all sorts of bother at the moment as the powerful striker continues to throw his weight around and that is shaping up to be a very interesting battle tonight. Barcelona continue to pass and probe in the final third of the field as boos ring around this famous stadium.
29,20 min,"CHANCE! Another chance for Barcelona as Alba delivers a cross into Rakitic and the midfielder's header drops towards Messi, but the ball flies wide of the post. Should make contact!"
30,22 min,Celtic just need to be careful here as Barcelona continue to find space in the final third of the field. Messi might have scored twice in the last few minutes and Celtic cannot gain a foot-hold here.
31,23 min,BOOKING! Sviatchenko (Celtic) is booked for a foul on Messi.
32,24 min,GOAL! Celtic 0-1 Barcelona (Messi)
33,25 min,"Barcelona make the breakthrough in the 24th minute of this match as Neymar delivers a super ball into Messi and the Argentine hammers home at the near post. In truth, it had been coming!"
34,27 min,"Celtic cannot really get anything going at the moment as Barcelona continue to pass and probe in the final third of the field. Dembele is causing problems when he has the chance to battle Pique, but the home side are just not seeing enough of the ball. Messi has been absolutely magic so far tonight."
35,30 min,"Celtic have the chance to threaten from a set piece, but the delivery is too long and Rogic fouls Rakitic when attempting to regain control of the ball. Some news from Germany - Gladbach lead Man City, which is not good news for Celtic in terms of a possible Europa League position."
36,32 min,"Little under 15 minutes of the first period remaining in Glasgow and Barcelona are in control of events courtesy of that wonderful Messi goal. Challenges continue to fly in all over the park and the referee has been more than prepared to let the play flow, which is contributing to a super game!"
37,34 min,"Just a reminder that a win for Barcelona would see them book their spot in the round of 16 tonight. Meanwhile, as things stand in the group, defeat for Celtic would see them exit Europe altogether. They need Man City to answer back against Gladbach to boost their Europa League hopes!"
38,36 min,"Not too much to report in terms of chances in the last few moments. Well, not since Messi scored. Celtic are doing their best to get something going, but they are really struggling here. Indeed, the home side survive another dangerous moment when Neymar robbed Simunovic outside his own box."
39,37 min,"SAVE! Much, much better from Dembele as the Celtic forward creates some space inside the Barcelona box before having a go and Ter Stegen is forced to make the save."
40,39 min,"Little over five minutes of the first period remaining and it is so, so important that Celtic do not concede a second goal at this stage of events. Dembele once again has the chance to threaten the away side's defence, but Mascherano is across to deny the striker with a super sliding challenge."
41,41 min,SAVE! Oh my word what a save! Stunning from Gordon as the Celtic goalkeeper somehow keeps out a Suarez header from point-blank range! It is exceptional from the stopper!
42,42 min,BOOKING! Alba (Barcelona) is booked for a late tackle on Sinclair.
43,44 min,"Celtic have struggled in this first period, but they are only one goal behind and that must be seen as a positive. On another night, Messi would have scored three or four times in this first period."
44,45 min+1,Just the one additional minute at the end of the first period.
45,45 min+2,HALF-TIME: Celtic 0-1 Barcelona
46,8.33pm,"So there we have it. The referee brings the first period to a close with Barcelona leading Celtic 1-0 at the interval courtesy of a brilliant Messi finish in the 24th minute of action. In truth, the visitors could have scored three or four in the first period, but Celtic remain in this European contest."
47,8.38pm,"STATISTICS! Barcelona have dominated the possession with 60%, while they have had six attempts - three of which were on target. Celtic, meanwhile, managed one attempt on target in the opening half of action. One booking apiece, meanwhile, with Sviatchenko and Alba both receiving yellow cards."
48,8.43pm,"BENCH WATCH! Celtic boss Brendan Rodgers has both Patrick Roberts and James Forrest on his bench tonight and it would not be a surprise to see either or both of those in the second period. Barcelona, meanwhile, have forward options in the shape of Denis Suarez, Rafinha, Alcacer and Arda Turan. It will be interesting to see whether either manager makes a half-time alteration here."
49,46 min,RESTART! Barcelona resume the action in Scotland...
50,47 min,... CELTIC SUB! Forrest has replaced Sinclair at the interval.
51,48 min,"It has been a decent start to the second period from Celtic, with Dembele and Brown both having shots blocked inside the Celtic box. Down the other end, Messi had the chance to break away from the Celtic defence, only to be thwarted by Armstrong, who showed excellent strength against the Argentine."
52,50 min,"CHANCE! McGregor finds all sorts of space outside the Barcelona box and looks to curl one towards the bottom corner, but it is a comfortable save for Ter Stegen. Had to do better!"
53,52 min,"At 1-0, Celtic will always be in this match. However, it would be very difficult to see the home side taking something if they were to concede a second goal. It has been a positive start to the second period from the Scottish champions as they continue to deliver crosses into the Barcelona box."
54,53 min,"CHANCE! Wonderful chance for the home side as Forrest delivers a super cross onto the head of Dembele, but his effort is straight at the Barcelona goalkeeper. What a miss there!"
55,54 min,PENALTY BARCELONA!
56,55 min,Barcelona have a penalty as Izaguirre brings Suarez to the deck with a clumsy tackle!
57,55 min,"GOAL! Celtic 0-2 Barcelona (Messi, pen)"
58,56 min,Messi goes down the middle and Barcelona have a 2-0 lead at Celtic Park!
59,58 min,"Celtic might have scored twice in the early stages of the second period, but they are now 2-0 behind and have some serious work to do in the final 30 minutes of this match. Barcelona again break through and Suarez hits the post, but the striker had moved into an offside position."
60,61 min,"Neymar is a wonderful player, Suarez is a wonderful player. Busquets, Pique, Mascherano. They are all brilliant. But where would Barcelona be without Messi? He is on another Champions League hat-trick tonight and it would take a brave man to bet against it happening in the final 30 minutes here."
61,63 min,"The handbags are out as Neymar and Lustig clash in a wide position. However, the referee is across to deal with the situation and it cools down without any further action needing to be taken here."
62,63 min,BOOKING! Roberto (Barcelona) is booked for a late tackle on Forrest.
63,64 min,CELTIC SUB! Biton replaces Rogic in Celtic's second change of the match.
64,66 min,BARCELONA SUB! Digne replaces Alba for the away side.
65,68 min,"The home supporters continue to back their team with a brilliant atmosphere and Celtic are responding as they continue to chase down Barcelona. It is very tough at this point, however, especially with the visitors leading 2-0. It is going to take somethings special to respond here."
66,68 min,CLOSE! Messi just fizzes a low strike wide of Gordon's post!
67,70 min,"Barcelona have another shout for a penalty as Lustig looks to challenge Neymar, but the referee points for a corner. I have certainly seen them given and that would have been the chance for Messi to complete yet another hat-trick. I still fancy more goals in the final 20 minutes of this game."
68,71 min,BOOKINGS! Lustig (Celtic) and Neymar (Barcelona) are booked following a clash.
69,72 min,CELTIC SUB! Roberts for McGregor is Celtic's final change of the game.
70,73 min,BARCELONA SUB! Marlon replaces Pique for Barcelona.
71,75 min,"Marlon wins the ball against Forrest on the edge of the Barcelona box, but it was a lunging challenge from the Brazilian and the debutant is a little bit fortunate to get away with that."
72,76 min,Very good pressure from Celtic in the last couple of minutes in Scotland.
73,77 min,BARCELONA SUB! Turan replaces Neymar in Barcelona's third change.
74,77 min,Neymar angers the Celtic supporters by taking an age to leave the field here!
75,79 min,Barcelona are really threatening on the counter-attack at the moment and Biton has to head behind after Messi broke away from the Celtic defence. Still more than 10 minutes to play in this match.
76,82 min,"Celtic have been brilliant for long spells of this match, but they have just not had enough in the final third of the field. Dembele has had opportunities, but the Frenchman has been unable to find the back of the net and as it stands, the Scottish champions are heading out of Europe."
77,84 min,"POST! Messi sets up Suarez inside the Celtic box and the striker looks to fire home, only to find the outside of the post as Celtic survive another dangerous moment here!"
78,86 min,The Celtic supporters have been brilliant tonight and that remains the case in the latter stages as they continue to produce a stunning atmosphere. They can be proud of their team here.
79,87 min,BOOKING! Armstrong (Celtic) is booked for a late tackle on Messi.
80,89 min,"Just a reminder that Monchengladbach are currently holding Man City to a 1-1 draw, which means that Barcelona will secure their spot in the knockout round of the competition as group winners as things stand. It also means that Celtic are currently being eliminated from European competition."
81,89 min,BOOKING! Rakitic (Barcelona) is booked for a tug on Forrest.
82,90 min+1,The fourth official indicates that we will play an additional four minutes here.
83,90 min+3,"Messi was bed-bound with a sickness bug at the weekend, but Celtic are the ones that have been left sick with the Argentine's performance tonight. He has been simply the best player here."
84,90 min+4,"Dembele goes down just outside the Barcelona box, but the referee is not interested and it did appear that the striker had slipped. No contact from Marlon and no decision from the referee."
85,90 min+5,FULL-TIME: Celtic 0-2 Barcelona
86,9.38pm,"So there we have it. The referee brings the second period to a close with Barcelona booking their spot in the next round of the Champions League courtesy of a 2-0 win over Celtic. Barcelona are through as group winners, while Celtic will now finish in fourth position in the section. Thanks for joining Sports Mole for another entertaining night of European football!"
