,time,text
20,2.22pm,"As for Real Madrid, Toni Kroos and Gareth Bale are still missing, meaning that Isco and Mateo Kovacic are given positions in the team. Lucas Vasquez also starts in the final third alongside Cristiano Ronaldo and Karim Benzema, while Raphael Varane is preferred to Pepe at the heart of the defence alongside Sergio Ramos. Mariano Diaz's hat-trick in the Copa del Rey on Wednesday night has earned the Dominican Republic international a place on the bench alongside Casemiro and James Rodriguez."
21,2.25pm,So there we have it. The two teams are in and we are now just about 50 minutes from kickoff on this mild afternoon in Barcelona. The atmosphere has been building throughout the day and there is definitely an underlying tension among the home supporters. They know that their team just cannot afford to suffer a damaging defeat to their rivals during what has been a difficult period.
22,2.28pm,"🚶🌱🏟 #RMClasicoExperience how it feels to walk out at the Camp Nou ahead of El Clásico...#HalaMadrid pic.twitter.com/2qko2zXvM4— Real Madrid C.F. (@realmadriden) December 3, 2016 "
23,2.32pm,"This afternoon will see the top two players in world football collide once again. Lionel Messi has 14 La Liga Clasico goals to his name, while Ronaldo has eight in the league in this particular fixture. Both have faced criticism over the last 12 months or so, but the pair continue to post staggering numbers. At 29 and 31 respectively, they remain the two best players in world football."
24,2.35pm,"This season, Messi has netted 19 goals in 16 Barcelona appearances, including nine in 10 league fixtures. Ronaldo, meanwhile, who struck a brilliant hat-trick against Atletico on November 19 and followed that up with a brace against Sporting Gijon, has 12 goals in 15 appearances this term, including 10 in 10 league fixtures. Kickoff is fast approaching in the first Clasico of the season."
25,2.38pm,"Gareth Bale is out of action for Real Madrid this afternoon, but Neymar, Luis Suarez, Karim Benzema and Co. are all present and this should be a celebration of the top players in world football. Let's just hope that the football lives up to all of the build-up and it will be up to those special players in attendance to decide what is a massive football match all over the world. I just cannot wait."
26,2.42pm,"Right, I have run through Barcelona's season, let's now take a look at how Real Madrid have fared this term. Los Blancos overcame Sevilla to win the European Super Cup back in August, before starting their league season with three straight victories over Real Sociedad, Celta Vigo and Osasuna.© Getty Images"
27,2.45pm,"A 2-1 win over Sporting Lisbon in the Champions League saw Real Madrid start their campaign with all three points and a 2-0 victory away to Espanyol on September 18 continued what was a fine opening month. They had a bit of wobble over the next couple of weeks, however, drawing four straight matches - three of which were in the league against Villarreal, Las Palmas and Eibar."
28,2.48pm,"Since the 1-1 draw with Eibar on October 10, Real Madrid have won 10 of their 11 matches in all competitions – remaining unbeaten in the process. Indeed, they have comfortably booked their spot in the knockout round of the Champions League and last-16 stage of the Copa del Rey, in addition to opening up a six-point lead at the top of Spain's top flight. It is all going very well at the moment."
29,2.52pm,"Meeting of the FC Barcelona and Real Madrid directors in the President Suñol box before today's match #ElClásico #ForçaBarça pic.twitter.com/qm5yX1iUHX— FC Barcelona (@FCBarcelona) December 3, 2016 "
30,2.55pm,"A 6-1 win over Real Betis on October 15 was followed by victories over Athletic Bilbao and Alaves in the league, before recording 3-0 victories over Leganes and away to Atletico, which was a very damaging defeat for Simeone's side. Los Blancos were far from their best against Sporting Gijon last weekend, but still managed to secure all the points in a 2-1 win to move six points clear at the summit."
31,2.58pm,"Like Barcelona, Real Madrid were also in Copa del Rey action during the week and they absolutely breezed into the last-16 stage of the competition after recording a 6-1 win over Cultural Leonesa, which followed a 7-1 victory in the first leg back in October. Not the toughest of tasks to be honest!"
32,3.02pm,"💪⚽️🏃 #RMClasico¡Los jugadores están calentando sobre el césped del Camp Nou! #HalaMadrid pic.twitter.com/MxAkJaoePs— Real Madrid C. F. (@realmadrid) December 3, 2016 "
33,3.05pm,"PREDICTION! Score draw for me. Real Madrid will enter this match in the better form, but I am just finding it difficult to predict an away win, especially looking at the two sides. It might well be cagey for long spells - plenty of challenges and a busy game for the referee - and I am backing a 1-1 here."
34,3.08pm,Can Barcelona win without Messi playing well this afternoon? Not for me. Can Real Madrid win without Ronaldo playing at his best? Yes. And that is the difference. I mentioned that there was a strange atmosphere around the stadium ahead of this match and that is still present. Let's just hope that the football matches the build-up. There are so many sensational players on display at Camp Nou.
35,3.12pm,"Here we go then - both sets of players join us on the field ahead of kickoff. You just get the feeling that the first goal - if there indeed is one - could be vital. Real Madrid have not won back-to-back games at Camp Nou since 1965, but they have a chance this afternoon. El Clasico is upon us!"
36,0 min,KICKOFF! Real Madrid kick things off at Camp Nou...
37,2 min,"... interestingly, Real Madrid have already looked long to Ronaldo on a couple of occasions in the early stages. Ronaldo has pulled onto Roberto and that is a no-contest in the air. Barcelona have attempted to get hold of the ball on a couple of occasions, but it is quite scrappy in the early moments."
38,3 min,Already some very lively challenges flying in here as Modric is clattered!
39,4 min,"Vasquez goes down inside the Barcelona box and calls for a spot kick, but the referee is not interested. It would have been very soft indeed. Already a busy game for the referee here."
40,6 min,"On second look - that might well have been a penalty for Real Madrid. Mascherano came across and made no contact with the ball, fouling Vasquez in the process. I thought it would have been harsh on first view, but replays show that it might well have been given. Early talking point here!"
41,8 min,"Rakitic looks to cushion a header into Messi as Barcelona enjoy some possession outside the Real Madrid box, but play resumes from the dead-ball line as Ramos uses his body to block the attacker. It has been a very lively opening eight minutes, with the away side shading the play so far here."
42,9 min,"Neymar does not look entirely happy after a coming-together with Carvajal, but it does appear that the Brazilian international will be able to continue. It has been better from Barcelona in the last couple of minutes, although we are still waiting for the first chance of El Clasico at Camp Nou."
43,10 min,"CHANCE! Wonderful chance for the home side as Neymar races past Carvajal before picking out Roberto at the far post, but Ramos manages to get hid body in the way to block!"
44,13 min,BOOKING! Isco (Real Madrid) is booked for taking out Neymar after the Brazilian had threatened to run away from the Spaniard. We have the first card of the match in the 13th minute of action.
45,15 min,"You just get the feeling that the first goal - if there indeed is one - could be vital in this match. Neither side has really got going in the opening 15 minutes, but Real Madrid should have had a penalty in the early exchanges. Barcelona want another booking as Modric takes out Messi!"
46,17 min,"Pass, pass, pass from Real Madrid as they look to work some space in the final third, but Ronaldo can only head towards Ter Stegen after Carvajal delivers a smart cross from a wide position."
47,18 min,Barcelona have a free kick in a dangerous position as Modric fells Messi...
48,19 min,"... Messi takes the set piece, but the ball flies straight into the arms of Navas."
49,21 min,"Well, 21 minutes on the clock and as expected, it has been a very close match. Neither side has really taken control and chances have been few and far between. It is a fascinating tactical battle though between two 4-3-3 formations. We are still waiting for things to take off at Camp Nou."
50,22 min,"Half-chance for Barcelona as Neymar breaks into a wide position before crossing into Suarez, but the striker's effort is blocked and Real Madrid can clear their lines. Decent opening there."
51,24 min,"Barcelona want a yellow card for Ramos after the centre-back took a ride on the back of Suarez, but the referee takes no further action when the ball goes out of play, much to the disbelief of Enrique. Real Madrid break down the other end with Marcelo, but Alba heads his cross clear of the box."
52,26 min,"Smart work from Luis Suarez brings a corner for Barcelona, but Neymar's set piece fails to beat the first man and Real Madrid can clear their lines once again. Still goalless with 26 minutes played!"
53,28 min,"Just a reminder that Real Madrid currently sit six points above Barcelona at the top of the table, which is why the home side just cannot afford to lose this match. Neither team is giving too much away at the moment as both defences remain on top. Chances have been few and far between here."
54,28 min,BOOKING! Neymar (Barcelona) is booked for a poor challenge on Vasquez.
55,31 min,"There is just no time to breathe on the ball at the moment as both midfielders continue to press high up the field. Marcelo finally breaks clear down the left and looks to deliver into the near post, but the offside flag is raised and Barcelona take their time in resuming with a deep free kick."
56,33 min,"Ronaldo goes up to challenge for a deep Carvajal cross, but Pique just about does enough and Barcelona scramble clear once again. Benzema was also involved and it might well have landed for the Frenchman if Ronaldo had not tried to make contact. Try telling Ronaldo not to go for it though!"
57,35 min,"Little over 10 minutes of the first period remaining and it is still goalless at Camp Nou. In truth, neither side has done enough to deserve to be leading at this stage of the contest."
58,36 min,Barcelona have another chance to threaten from a free kick here...
59,37 min,"... Messi delivers, but again it is comfortable for Real Madrid as they clear their lines. The overall quality has been a little bit disappointing when considering the talent on display this afternoon."
60,38 min,SAVE! Ter Stegen has to push a Ronaldo effort wide of the post after the attacker broke into the Barcelona box and unleashed. Danger signs for Barcelona in that moment!
61,39 min,SAVE! Again Ter Stegen has to save from Ronaldo as the Portugal captain somehow dances into the Barcelona box and pokes the ball towards the bottom corner. Good pressure!
62,41 min,"If this were a boxing match, I would have Real Madrid ahead on points, but Barcelona are still having their fair share of the ball and look dangerous when they break into the final third. It does appear that the two teams will enter the break at 0-0, but still around five minutes left in the first period."
63,43 min,Not too much to report in terms of chances in the last few moments as both teams share possession of the ball. There have also been a couple more challenges for the referee to act on.
64,44 min,"Excellent defending from Pique as the Barcelona centre-back sticks out a leg to clear a cross from Benzema, which looked to be finding Ronaldo. That could have gone absolutely anywhere! From the resulting corner, Varane heads at Ter Stegen as the away side impress late in the first period here."
65,45 min+1,HALF-TIME: Barcelona 0-0 Real Madrid
66,4.02pm,"So there we have it. The referee brings the first period to a close with the two teams level at 0-0. There was not too much in the match in the opening 30 minutes or so, but Real Madrid ended the half on the front foot and might well have made the breakthrough. It has been a fascinating match!"
67,4.07pm,"STATISTICS! Barcelona have just about shaded the possession with 55%, but they have only managed four shots to Real Madrid's seven, while the visitors have had four shots on target to Barcelona's one. Two yellow cards to report - Isco in the 13th minute and Neymar in the 28th minute."
68,4.12pm,"BENCH WATCH! Barcelona have fit-again Andres Iniesta on their bench this afternoon, while Paco Alcacer, Denis Suarez and Arda Turan are also available for the home side. Real Madrid, meanwhile, have options in the shape of Marco Asensio, Mariano Diaz and James Rodriguez. You just get the feeling that this game could be decided from the bench. It is just so tight as things stand!"
69,4.17pm,"Lucky charm for Real Madrid...0 - Real Madrid have not lost any of their 19 games with Lucas Vazquez in the starting XI (W17 D2; all competitions). Amulet. pic.twitter.com/Xu45TMr1zn— OptaJose (@OptaJose) December 3, 2016 "
70,46 min,RESTART! Barcelona resume the action on home soil...
71,47 min,"... no changes from either side at the break, which is not too much of a surprise. However, I suspect that both managers will have alterations in mind for the second 45 minutes. Not too many predicted a goalless draw in this match, but that is the case at the moment. Brings us goals please!"
72,48 min,"Super work from Messi as the Argentine finds space outside the Real Madrid box before chipping a cross into Suarez, but Ramos is again across to make a vital block. The home supporters are in fine voice at the start of this second period as Barcelona threaten with a couple of set pieces."
73,50 min,"Real Madrid are winning the midfield battle at the moment, with Gomes and Rakitic both struggling to make their mark for the home side. Iniesta is surely in the thoughts of Enrique, but I should not think that we will see the Spanish international until at least the hour mark, or possibly beyond."
74,52 min,"Not an awful lot to report in terms of chances in this second period, but Real Madrid are looking the most likely. Indeed, Ronaldo has just fired over the crossbar after a super Modric pass."
75,53 min,GOAL! Barcelona 1-0 Real Madrid (Suarez)
76,54 min,"Breakthrough! Barcelona open the scoring in the 53rd minute as Suarez heads a brilliant Neymar free kick into the back of the net! It is against the run of play, but the home side lead here!"
77,56 min,"A long way to go in this match, but that is a massive goal from Suarez, who has pretty poor in the first period. Now it is up to Real Madrid to turn this one around or at least secure a point. As it stands, Barcelona are cutting the gap at the top of La Liga to just three points from their rivals."
78,58 min,"We are entering the stage of the match where both managers will be considering changes. The needs for Iniesta is not quite as strong as it would have been at 0-0, but Real Madrid have plenty of attacking options on their bench. To be honest, Benzema has not done too much for the visitors."
79,60 min,BARCELONA SUB! Iniesta replaces Rakitic in the first change of the match.
80,62 min,"Still no movement on the Real Madrid bench, but something has to be imminent because Barcelona are in control of the ball at the moment. Almost immediately, Iniesta has calmed those around him."
81,65 min,"Real Madrid have started to see more of the ball in the last few moments, but they are not really threatening to level as Barcelona sit back and defend their lines. You just wonder whether someone like an Asensio or a Mariano might be thrown on in a bid to offer Barcelona a different challenge."
82,66 min,REAL MADRID SUB! Casemiro replaces Isco for Real Madrid.
83,68 min,"You just get the feeling that there is going to be late drama in this match. I am finding it hard to believe that Barcelona will just see this game out at 1-0. Not in El Clasico. Not with this Real Madrid team. That said, the visitors are just struggling to get going with little over 20 minutes left here."
84,69 min,"CHANCE! Oh my word what a chance! Barcelona have a brilliant opportunity to make it 2-0 as Neymar breaks into the Real Madrid box, but the Brazilian somehow fires over the crossbar!"
85,70 min,"Another half-chance for Barcelona, but Iniesta hits the side netting from close range."
86,72 min,Little under 20 minutes of El Clasico remaining and Suarez's header still separates the two teams. The home supporters are in fine voice as we approach a really key period of this match.
87,74 min,"Real Madrid have just not recovered from that Suarez goal, not yet anyway. They should have led late in the first period, but they are facing the possibility of their first defeat of the season. Ronaldo has the chance to break away down the left, but he is forced back and Barcelona can shift into position."
88,75 min,"Mascherano absolutely hammers the ball down-field as Barcelona resist another period of pressure. Suarez wants handball from Varane, but the referee is simply not interested in the claims."
89,75 min,BOOKING! Suarez (Barcelona) is booked for dissent.
90,77 min,Little over 10 minutes of this Clasico remaining and it is so open at the moment as both teams continue to commit players in the final third. Real Madrid are throwing caution to the wind and that will be the case in these latter stages as they continue to chase it down. Some conclusion we could have!
91,77 min,REAL MADRID SUB! Asensio replaces Benzema for the away side.
92,78 min,BARCELONA SUB! Turan replaces Gomes in Barcelona's second change.
93,80 min,"As it stands, Barcelona are moving to within three points of Real Madrid at the summit. That sounds a lot better than the nine points it would have been/still could be if the visitors secured all the points."
94,81 min,BOOKING! Carvajal (Real Madrid) is booked for a late challenge on Neymar.
95,83 min,"CHANCE! Wonderful chance for Messi to send Barcelona two goals ahead after breaking into the Real Madrid box, but the Argentine somehow fires wide of the post. Had to score!"
96,84 min,BOOKING! Busquets (Barcelona) is booked for a foul on Asensio.
97,86 min,"Not too much from Real Madrid at the moment and it is obvious that they miss Bale down that left. Ronaldo had a couple of chances late in the first period, but he has not been too active in this second period. Little under five minutes remaining and Barcelona still lead El Clasico 1-0."
98,87 min,REAL MADRID SUB! Mariano replaces Kovacic for the away side.
99,88 min,CLOSE! Ramos heads over the crossbar and Barcelona can breathe again!
100,88 min,BARCELONA SUB! Denis Suarez replaces Neymar for the home side.
101,89 min,"CHANCE! Marcelo picks out Ronaldo with a deep cross, but Alba manages to turn the attacker's header wide of the post. We are entering the very final moments of this game."
102,89 min,BOOKING! Mascherano (Barcelona) is booked for dissent.
103,90 min,GOAL! Barcelona 1-1 Real Madrid (Ramos)
104,90 min+1,Would you believe it! Real Madrid have levelled in the final minute of this match as Ramos heads a brilliant Modric free kick into the back of the net! It just had to be him didn't it!
105,90 min+2,We are into the second minute of added time and Barcelona have been flattened!
106,90 min+3,"CHANCES! The ball is live inside the Barcelona box and a couple of players have shots, but Real Madrid manage to survive and clear their lines. That should be that for this one!"
107,90 min+4,FULL-TIME: Barcelona 1-1 Real Madrid
108,5.08pm,"Incredible, just incredible! Real Madrid come from one goal behind to level at the death as they remain six points clear at the top of La Liga. It was an incredible conclusion and a point apiece is just about right in this match. Thanks for joining Sports Mole for the action once again!"
