,time,text
10,7.18pm,"Barcelona have not lost a competitive match since a 3-1 defeat at Manchester City in the Champions League on November 1, but they have actually drawn three of their last five league matches – sharing the points with Malaga, Real Sociedad and Real Madrid between November 19 and December 3. That particular run has now made almost every game must-win for the champions.© SilverHub"
11,7.22pm,"Luis Enrique's side will enter this match off the back of successive league wins, however, with a 3-0 success at Osasuna on December 10 followed by a 4-1 victory over Catalan rivals Espanyol last time out. Barcelona have some work to do this season, but any team with Lionel Messi, Luis Suarez and Neymar stands a chance. Tonight though is a very big football match for the champions."
12,7.25pm,"In terms of what is ahead for Barcelona, they will welcome Athletic Bilbao to Camp Nou on Wednesday for the second leg of their last-16 Copa del Rey clash - trailing 2-1 from the first leg at San Mames on Thursday night - before hosting Las Palmas in the league next weekend. They will then travel to Eibar on January 22, before ending the month with a trip to Real Betis."
13,7.28pm,"Next month will also see the return of the Champions League and Barcelona have the small matter of a two-legged knockout tie against Ligue 1 giants Paris Saint-Germain, with the first leg to come in France on February 14. They fell short in the Champions League last season, but will fancy their chances of overcoming PSG and sending out a statement to the rest of the competition.© SilverHub"
14,7.32pm,"As for Villarreal, the Yellow Submarine also have European football to think about next month as they prepare to take on Roma in the Europa League. European success would be huge for the club this season, but their main focus is the league and they have been excellent to watch so far this term. Indeed, a total of 29 points from 16 matches has left them in fifth position in the table."
15,7.35pm,"Only Barcelona (2) and Real Madrid (0) have suffered fewer league defeats than Villarreal (3) this season and Fran Escriba's team have been very impressive on home soil this term – winning six of their eight matches and only losing once. What's more, Villarreal have the best defensive record in the division so far – conceding just 11 times in their 16 fixtures. They are a very, very tough nut to crack."
16,7.38pm,"In terms of what is ahead for Villarreal, they will welcome Real Sociedad to El Madrigal for the second leg of their Copa del Rey last-16 clash on Wednesday night - trailing 3-1 from the first leg last week - before travelling to Deportivo La Coruna in the league then next weekend. They will then welcome Valencia, before ending the month with a home match against struggling Granada.© Getty Images"
17,7.42pm,"Since returning to the top flight of Spanish football in 2013, Villarreal have finished sixth, sixth and fourth in their three La Liga campaigns. It does appear that Real Madrid and Barcelona will battle for the title this season, which leaves an interesting battle between the likes of Sevilla, Villarreal, Atletico Madrid, Real Sociedad and Athletic Bilbao for the final two Champions League positions."
18,7.44pm,Here we go then - both sets of players have joined us on the pitch for the first period of action. The pre-match handshakes have been undertaken and the flags have been exchanged. You just get the feeling that the first goal tonight - if there indeed is one - could be crucial. Stay tuned for the action!
19,0 min,KICKOFF! Villarreal kick things off on home soil...
20,2 min,"... it must be said that there is a wonderful atmosphere inside the stadium tonight. Barcelona will expect to dominate the ball here, but Villarreal are a very exciting team to watch and will fancy their chances of upsetting the away side's back four. It should be a very interesting game of football."
21,4 min,"Just a reminder that Rakitic has not made Barcelona's 18-man squad tonight, which has led to suggestions that the Croatian could be on his way out of Camp Nou this month. That is one to watch. But anyway, back to the acton on the field and it has been a fairly open start to the fixture."
22,4 min,"Iniesta hits one from distance, but it is comfortable for Asenjo to catch."
23,6 min,"Iniesta fires a pass into Roberto and the Barcelona right-back looks to deliver first time, but Asenjo is once again on hand to claim. Decent spell of pressure from the away side in the last couple of minutes. It comes to an end, however, when Suarez pulls Costa to the ground inside the Villarreal box."
24,8 min,"Pass, pass, pass from Barcelona as they look to work space in the final third. But Villarreal have danced this dance before and there is a reason why they have the best defence in the league this season. It is going to be very difficult for the away side to pass and probe in tight positions here."
25,8 min,SAVE! Asenjo is out to deny Neymar after a wonderful pass from Messi had released the Brazilian. Barcelona are moving the ball very quickly in the final third at the moment.
26,10 min,"CHANCE! Super chance for the home side this time as Costa finds Dos Santos with a wonderful cross, but the Mexican midfielder lifts his effort over the crossbar at the far post!"
27,12 min,"CHANCE! Another chance for the home side as Pato delivers a sensational pass into the Barcelona box, but Digne comes from nowhere to make a quite incredible challenge and prevent Dos Santos from sliding the ball home. It was absolutely wonderful from the left-back."
28,14 min,"Luis Enrique has a long glance at his watch as another through pass from Messi comes close to finding Suarez. It has been a very entertaining opening 14 minutes to this match, with both teams showing their threat in the final third of the field. You fancy that the opening goal will soon arrive."
29,16 min,The referee has allowed a couple of late challenges to go unpunished in this match and it will be interesting to see what the official deems as a tackle worthy of a yellow card. Not one as of yet.
30,19 min,"Barcelona are dominating the ball at the moment as they continue to pass and probe, and it will not come as a surprise to learn that Iniesta is enjoying plenty of the ball. He is such a wonderful player for this football club and they will eventually have the very difficult task of replacing him."
31,19 min,"Gomes snaps up the loose ball and hits one from distance, but his effort is too high."
32,20 min,SAVE! Ter Stegen has to get down and keep out a strike from Sansone after the number 18 had moved clear of the Barcelona defence. Villarreal are causing plenty of problems here.
33,22 min,"Sansone has another go from distance, but Ter Stegen is comfortable making the save."
34,24 min,"Still no bookings in this match, but we must be getting close as Busquets brings Trigueros to the deck with a late challenge. I suspect that the next late tackle will bring the game's first card!"
35,25 min,"CLOSE! Neymar cuts inside and fires one towards the top corner, but his effort is just wide of the post. Neymar and Messi look the two most likely for the visitors at the moment."
36,27 min,"Under normal circumstances, a point at Villarreal would be considered a decent result for Barcelona. However, as it stands, they would be five points behind the leaders Real Madrid, who would also have a game in hand. Eight points is an awful long way behind such a strong team."
37,28 min,"Some news regarding Rakitic...BREAKING: Ivan Rakitic's camp insist ""there's absolutely nothing"" in reports the MF's omission by #Barca is due to a proposed move to #MCFC.— footballespana (@footballespana_) January 8, 2017 "
38,30 min,"It must be said that the opening 30 minutes of this football match have absolutely flown past. Barcelona have shaded it overall, but Villarreal have had some super chances and probably should be on the scoresheet at this stage. It has been just as competitive and entertaining as expected."
39,32 min,"Pato goes down inside the Barcelona box under pressure from Mascherano, but the referee is not interested. It would have been a very harsh call. Still goalless with 32 minutes on the clock here."
40,34 min,"Digne breaks forward for the visitors and looks to pick out Suarez with a deep cross, but Ruiz is on hand to make the clearance. Barcelona are just turning on the style at the moment as they continue to find space in the final third. Villarreal, meanwhile, remain a threat on the counter-attack here."
41,35 min,Super defending from Spain international Mario as the Villarreal right-back challenges Neymar when the Brazilian was looking to slide the ball home. Still goalless with 35 minutes on the clock.
42,38 min,"Not an awful lot to report in terms of chances in the last few minutes, but Barcelona are very much in control of the possession as they continue to pass and probe. Villarreal are not too interested in slow build-up, however, as they look to go from back to front as fast as physically possible here."
43,40 min,"Neymar drives along the edge of the Villarreal box, but after a couple of challenges, the Brazilian is knocked off-balance and the home side can resume the action from the dead-ball line."
44,42 min,Not an awful lot to report in terms of chances as we approach the interval here.
45,43 min,SAVE! Super save from Asenjo as the Villarreal stopper pushes a Messi header over the crossbar. Villarreal are just holding on a touch as we approach the half-time break.
46,45 min,Another smart save from Asenjo as he keeps out Suarez's low strike.
47,45 min+1,HALF-TIME: Villarreal 0-0 Barcelona
48,8.31pm,"So there we have it. The referee brings the first period to a close with the two teams level at the newly-named Estadio de la Ceramica. Barcelona have shaded it in terms of possession and chances created, but Villarreal have also had plenty of good moments in the final third of the field."
49,8.36pm,"STATISTICS! Barcelona have dominated the possession with 70%, while they have had 10 attempts - four of which were on target. Villarreal, meanwhile, hit the target with two of their four attempts in the opening 45 minutes. There has not been a single yellow card despite some tasty challenges here."
50,8.41pm,"BENCH WATCH! Barcelona have a number of attacking options on their bench tonight, with Rafinha, Alcacer, Denis Suarez and Turan all capable of making an impact. As for Villarreal, head coach Escriba has the likes of Castillejo, N'Diaye and Rukavina on a fairly defence-minded bench."
51,8.46pm,"5 - Five out of Barcelona's last six La Liga games have ended 0-0 at half time. Obstacle. pic.twitter.com/ivoDPN9iia— OptaJose (@OptaJose) January 8, 2017 "
52,46 min,RESTART! Barcelona resume the action in the second period...
53,47 min,"... no changes from either side at the break, which is not too much of a surprise. However, I suspect that both managers will already have alterations in mind as the second period develops here."
54,49 min,You just get the feeling that Villarreal will need to score tonight if they are to stand a chance of securing a positive result. I really fancy Barcelona to find the back of the net in this second period.
55,50 min,GOAL! Villarreal 1-0 Barcelona (Sansone)
56,51 min,"Villarreal make the breakthrough in the 50th minute of this match as the home side launch a fast counter-attack and Pato slides a super pass into Sansone, who finds the bottom corner!"
57,53 min,Pique is not moving freely at the moment and that is definitely one to keep an eye on over the next few minutes. Barcelona cannot afford to take any chances at this stage of the contest.
58,53 min,Barcelona have a free kick in a dangerous position as Trigueros flies into a tackle with Neymar...
59,54 min,"... SAVE! Barcelona take a quick free kick and Neymar is released inside the Villarreal box, but his effort is straight at the goalkeeper. We have a proper game on our hands here."
60,56 min,"You just wonder whether Luis Enrique is considering changes at this stage of the match. Andre Gomes is offering little from midfield at the moment, and Rafinha and Denis Suarez are both options on the bench. Still a lot of football to be played before tonight is said and done."
61,58 min,"Messi fights to meet the ball inside the Villarreal box following a quick counter-attack, but the home side survive what was a very dangerous moment. Yellow shirts were caught upfield!"
62,61 min,Good grief that is calm from Costa as he takes the ball on his chest under pressure from Andre Gomes at the far post. Little under 30 minutes of normal time remaining at this newly-named stadium and Villarreal still lead courtesy of that super finish from Sansone in the 49th minute.
63,63 min,It is really not difficult to see why Villarreal have the best defensive record in the league this season. They are just so well-drilled all over the park. We are entering the period of the match where Barcelona boss Luis Enrique will be considering changes. Something needs to change here.
64,64 min,Super defending from Victor Ruiz once again as the Villarreal centre-back wins a throw inside his own half after holding off the challenge of Neymar and Messi. Denis Suarez is about to enter...
65,65 min,"Neymar goes down inside the Villarreal box, but the referee is not interested."
66,66 min,"Pato looks to race away from Mascherano as Villarreal break once again, but the Argentine does well to make the challenge and Barcelona can launch a counter-attack of their own here."
67,68 min,BARCELONA SUB! Denis Suarez replaces Andre Gomes for the visitors.
68,69 min,Iniesta misses the post with a long-range strike.
69,70 min,BOOKING! Costa (Villarreal) is booked for a pull on Suarez.
70,71 min,Mascherano's header from a Messi free kick flies harmlessly wide of the post.
71,72 min,BARCELONA SUB! Turan replaces Digne for Barcelona here.
72,73 min,Messi has one deflected over the crossbar and Barcelona actually want a penalty!
73,73 min,Ohhh... Bruno put his arm on the ball and that should have been a spot kick!
74,73 min,POST! Messi curls one against the post from inside the box!
75,75 min,"I am not entirely sure how Barcelona are still behind in this match, but that is the case. Villarreal hold onto their lead as we approach the final stages of this contest. Villarreal want a penalty of their own as Mascherano makes a block, but the referee is not interested."
76,75 min,CHANCES! Asenjo keeps out Suarez's effort and Neymar then over-head kicks the ball over the crossbar as Barcelona come close twice in quick succession. Wow!
77,76 min,VILLARREAL SUB! Castillejo replaces Pato for the home side.
78,78 min,BOOKING! Roberto (Barcelona) is booked as the referee blows for a Villarreal free kick when Barcelona called for another handball. Roberto was the loudest voice there.
79,81 min,"You do get the feeling that there is another goal in this match as Barcelona continue to commit players forward. Villarreal are so deep and surely Messi, or Neymar, or Suarez are going to pull something out the bag when their team needs it most. Barcelona just cannot lose this match."
80,83 min,It is almost like a training game at the moment as Villarreal sit deep and attempt to contain Barcelona's attack. Neymar eventually whips a cross into the box and Asenjo is up to claim.
81,83 min,BOOKING! Pique (Barcelona) is booked for dissent.
82,84 min,VILLARREAL SUB! Rodrigo replaces Soriano for Villarreal.
83,84 min,CHANCE! Turan heads a Neymar cross wide of the post.
84,86 min,Stoppage in play at the moment as Musacchio receives some treatment on a wrist problem.
85,87 min,VILLARREAL SUB! Alvaro replaces Musacchio for the home side.
86,89 min,"Iniesta asks just a little bit too much from Roberto and the right-back can only poke the ball out of play, which gives Villarreal a goal-kick in the very final moments of this league match."
87,89 min,Messi wins a free kick just outside the Villarreal box...
88,90 min,... GOAL! Villarreal 1-1 Barcelona (Messi)
89,90 min+1,It is absolutely different class from Messi as the Argentine picks out the top corner with a wonderful free kick. Only Messi could find the top corner under this sort of pressure.
90,90 min+2,We are into the second of four additional minutes here.
91,90 min+4,SENT OFF! COSTA!
92,90 min+4,Villarreal are reduced to 10 men as Costa is handed his second yellow for a lunge on Messi.
93,90 min+5,FULL-TIME: Villarreal 1-1 Barcelona
94,9.35pm,"So there we have it. The referee brings this incredible match to a close with Villarreal and Barcelona sharing the points in a 1-1 draw. It appeared that Villarreal would collect a vital three points, but Messi had other ideas as he levelled with a stunning late free kick. Thanks for joining Sports Mole for the live action once again. Until next time!"
